Scan#: 1	ScanningTime: ,00	#APsFound: 16	DB: 0.0	Date: Mon Jun 01 12:58:49 GMT+01:00 2015
37.9749828	23.7273204	-76	2412	e8:94:f6:2f:4c:3e	Thisissparta!
37.9749828	23.7273204	-74	2442	4c:5e:0c:60:22:99	Intranet
37.9749828	23.7273204	-72	2442	4e:5e:0c:60:22:99	Ydria Free Wifi
37.9749828	23.7273204	-83	2412	54:22:f8:c6:0f:0c	Karyatis
37.9749828	23.7273204	-83	2437	00:de:fa:15:c0:01	TERINA CAFE
37.9749828	23.7273204	-70	2462	9c:97:26:be:4a:c7	Forthnet-BE4AC7
37.9749828	23.7273204	-86	2437	78:54:2e:f8:a4:48	nic
37.9749828	23.7273204	-93	2412	4c:09:b4:a4:eb:cf	Pandora
37.9749828	23.7273204	-88	2412	00:24:17:18:73:2d	Thomson33EF42
Scan#: 14	ScanningTime: 3,64	#APsFound: 11	DB: 44.0	Date: Mon Jun 01 12:59:38 GMT+01:00 2015
37.9749681	23.7273648	-65	2412	e8:94:f6:2f:4c:3e	Thisissparta!
37.9749681	23.7273648	-72	2442	4c:5e:0c:60:22:99	Intranet
37.9749681	23.7273648	-73	2442	4e:5e:0c:60:22:99	Ydria Free Wifi
37.9749681	23.7273648	-83	2412	54:22:f8:c6:0f:0c	Karyatis
37.9749681	23.7273648	-87	2437	00:de:fa:15:c0:01	TERINA CAFE
37.9749681	23.7273648	-73	2462	9c:97:26:be:4a:c7	Forthnet-BE4AC7
37.9749681	23.7273648	-80	2437	78:54:2e:f8:a4:48	nic
37.9749681	23.7273648	-90	2412	00:24:17:18:73:2d	Thomson33EF42
37.9749681	23.7273648	-94	2412	00:1e:52:78:94:dc	Epsilon World
37.9749681	23.7273648	-94	2462	b8:6b:23:4e:78:a9	flashair_b86b234e78a9
37.9749681	23.7273648	-87	2412	28:92:4a:c3:ec:7c	HP-Print-7C-Officejet Pro 8600
Scan#: 15	ScanningTime: 3,65	#APsFound: 11	DB: 45.0	Date: Mon Jun 01 12:59:41 GMT+01:00 2015
37.9749487	23.7274332	-74	2412	e8:94:f6:2f:4c:3e	Thisissparta!
37.9749487	23.7274332	-68	2442	4c:5e:0c:60:22:99	Intranet
37.9749487	23.7274332	-66	2442	4e:5e:0c:60:22:99	Ydria Free Wifi
37.9749487	23.7274332	-81	2412	54:22:f8:c6:0f:0c	Karyatis
37.9749487	23.7274332	-84	2437	00:de:fa:15:c0:01	TERINA CAFE
37.9749487	23.7274332	-78	2462	9c:97:26:be:4a:c7	Forthnet-BE4AC7
37.9749487	23.7274332	-88	2412	00:24:17:18:73:2d	Thomson33EF42
37.9749487	23.7274332	-94	2412	00:1e:52:78:94:dc	Epsilon World
37.9749487	23.7274332	-90	2412	4c:09:b4:a4:eb:cf	Pandora
37.9749487	23.7274332	-91	2452	cc:1a:fa:98:e4:b8	Deluxe_Wifi
37.9749487	23.7274332	-93	2462	e2:9f:42:61:46:58	iPhone mein Germany
Scan#: 16	ScanningTime: 3,66	#APsFound: 13	DB: 46.0	Date: Mon Jun 01 12:59:45 GMT+01:00 2015
37.9749241	23.7274751	-77	2412	e8:94:f6:2f:4c:3e	Thisissparta!
37.9749241	23.7274751	-59	2442	4c:5e:0c:60:22:99	Intranet
37.9749241	23.7274751	-60	2442	4e:5e:0c:60:22:99	Ydria Free Wifi
37.9749241	23.7274751	-85	2412	54:22:f8:c6:0f:0c	Karyatis
37.9749241	23.7274751	-77	2437	00:de:fa:15:c0:01	TERINA CAFE
37.9749241	23.7274751	-88	2462	9c:97:26:be:4a:c7	Forthnet-BE4AC7
37.9749241	23.7274751	-80	2412	00:24:17:18:73:2d	Thomson33EF42
37.9749241	23.7274751	-86	2412	4c:09:b4:a4:eb:cf	Pandora
37.9749241	23.7274751	-93	2452	cc:1a:fa:98:e4:b8	Deluxe_Wifi
37.9749241	23.7274751	-92	2462	e2:9f:42:61:46:58	iPhone mein Germany
37.9749241	23.7274751	-85	2437	78:54:2e:f8:a4:48	nic
37.9749241	23.7274751	-87	2412	28:92:4a:c3:ec:7c	HP-Print-7C-Officejet Pro 8600
37.9749241	23.7274751	-90	2437	fc:15:b4:e1:d6:dd	HP-Print-DD-Deskjet 5520 series
Scan#: 17	ScanningTime: 3,58	#APsFound: 12	DB: 47.0	Date: Mon Jun 01 12:59:48 GMT+01:00 2015
37.9749036	23.7275124	-69	2412	e8:94:f6:2f:4c:3e	Thisissparta!
37.9749036	23.7275124	-61	2442	4c:5e:0c:60:22:99	Intranet
37.9749036	23.7275124	-60	2442	4e:5e:0c:60:22:99	Ydria Free Wifi
37.9749036	23.7275124	-81	2412	54:22:f8:c6:0f:0c	Karyatis
37.9749036	23.7275124	-70	2437	00:de:fa:15:c0:01	TERINA CAFE
37.9749036	23.7275124	-74	2412	00:24:17:18:73:2d	Thomson33EF42
37.9749036	23.7275124	-91	2412	4c:09:b4:a4:eb:cf	Pandora
37.9749036	23.7275124	-83	2437	78:54:2e:f8:a4:48	nic
37.9749036	23.7275124	-80	2412	28:92:4a:c3:ec:7c	HP-Print-7C-Officejet Pro 8600
37.9749036	23.7275124	-88	2437	fc:15:b4:e1:d6:dd	HP-Print-DD-Deskjet 5520 series
37.9749036	23.7275124	-89	2437	00:13:33:86:17:13	OTEcbf1de
37.9749036	23.7275124	-96	2412	58:98:35:51:b9:50	Theodora
Scan#: 18	ScanningTime: 3,72	#APsFound: 18	DB: 49.0	Date: Mon Jun 01 12:59:52 GMT+01:00 2015
37.974899	23.7275585	-63	2412	e8:94:f6:2f:4c:3e	Thisissparta!
37.974899	23.7275585	-70	2442	4c:5e:0c:60:22:99	Intranet
37.974899	23.7275585	-72	2442	4e:5e:0c:60:22:99	Ydria Free Wifi
37.974899	23.7275585	-74	2412	54:22:f8:c6:0f:0c	Karyatis
37.974899	23.7275585	-75	2437	00:de:fa:15:c0:01	TERINA CAFE
37.974899	23.7275585	-72	2412	00:24:17:18:73:2d	Thomson33EF42
37.974899	23.7275585	-65	2412	4c:09:b4:a4:eb:cf	Pandora
37.974899	23.7275585	-92	2437	78:54:2e:f8:a4:48	nic
37.974899	23.7275585	-71	2412	28:92:4a:c3:ec:7c	HP-Print-7C-Officejet Pro 8600
37.974899	23.7275585	-87	2437	fc:15:b4:e1:d6:dd	HP-Print-DD-Deskjet 5520 series
37.974899	23.7275585	-84	2437	00:13:33:86:17:13	OTEcbf1de
37.974899	23.7275585	-90	2412	58:98:35:51:b9:50	Theodora
37.974899	23.7275585	-85	2462	e2:9f:42:61:46:58	iPhone mein Germany
37.974899	23.7275585	-87	2457	54:22:f8:f0:54:a0	conn-xf054a0
37.974899	23.7275585	-88	2462	00:12:ef:5f:6c:e5	Terina
37.974899	23.7275585	-91	2462	b8:6b:23:4e:78:a9	flashair_b86b234e78a9
37.974899	23.7275585	-94	2467	88:dc:96:0f:b5:20	PLAKA HOTEL
37.974899	23.7275585	-92	2422	dc:9f:db:a6:34:76	MEGASOFT
Scan#: 19	ScanningTime: 3,72	#APsFound: 20	DB: 52.0	Date: Mon Jun 01 12:59:56 GMT+01:00 2015
37.9748894	23.7275888	-66	2412	e8:94:f6:2f:4c:3e	Thisissparta!
37.9748894	23.7275888	-75	2442	4c:5e:0c:60:22:99	Intranet
37.9748894	23.7275888	-70	2442	4e:5e:0c:60:22:99	Ydria Free Wifi
37.9748894	23.7275888	-64	2412	54:22:f8:c6:0f:0c	Karyatis
37.9748894	23.7275888	-68	2437	00:de:fa:15:c0:01	TERINA CAFE
37.9748894	23.7275888	-83	2412	00:24:17:18:73:2d	Thomson33EF42
37.9748894	23.7275888	-74	2412	4c:09:b4:a4:eb:cf	Pandora
37.9748894	23.7275888	-73	2412	28:92:4a:c3:ec:7c	HP-Print-7C-Officejet Pro 8600
37.9748894	23.7275888	-76	2437	fc:15:b4:e1:d6:dd	HP-Print-DD-Deskjet 5520 series
37.9748894	23.7275888	-78	2437	00:13:33:86:17:13	OTEcbf1de
37.9748894	23.7275888	-88	2412	58:98:35:51:b9:50	Theodora
37.9748894	23.7275888	-87	2462	e2:9f:42:61:46:58	iPhone mein Germany
37.9748894	23.7275888	-86	2457	54:22:f8:f0:54:a0	conn-xf054a0
37.9748894	23.7275888	-95	2462	00:12:ef:5f:6c:e5	Terina
37.9748894	23.7275888	-86	2462	b8:6b:23:4e:78:a9	flashair_b86b234e78a9
37.9748894	23.7275888	-93	2422	dc:9f:db:a6:34:76	MEGASOFT
37.9748894	23.7275888	-84	2472	00:0c:43:24:d9:48	athens_happy_train
